id,name,parent_id/id,property_valuation,property_cost_method,property_account_income_categ_id/id,property_account_expense_categ_id/id
init.categ_products_drug_orders,Drugs,,Manual,Standard Price,init.1_conf_a_sale,init.1_conf_cog
init.categ_products_essential_drugs_orders,Essential Drugs,init.categ_products_drug_orders,Manual,Standard Price,init.1_conf_a_sale,init.1_conf_cog
