Uuid,Void/Retire,Same as mappings,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
b0f52c38-db23-467d-ad8b-03ea995d3a69,,CIEL:75563;SNOMED:410843003,,Eletriptan,Elétriptan,Drug,N/A,,,
d612ddcc-9d3b-4489-97e1-22893c9735df,,CIEL:75633;SNOMED:372658000,,Enalapril,Enalapril,Drug,N/A,,,
e5c615d2-e6d6-463f-945b-92afb28e027f,,CIEL:75952;SNOMED:396048008,,Ethamsylate,Ethamsylate,Drug,N/A,,,
706797d0-635b-44d3-a46c-ddbe0d8483c1,,CIEL:75976;SNOMED:32800009,,Ethionamide,Ethionamide,Drug,N/A,,,
7f097fc4-be12-4916-99e5-4ebdc8abe832,,SNOMED:1230121009,,Etophylline & Theophylline,Etophylline et theophylline,Drug,N/A,,,
1952c13e-d829-4450-a605-828a1bd6c11e,,CIEL:76178;SNOMED:387211002,,Famotidine,Famotidine,Drug,N/A,,,
e2650794-cf62-4a1a-a678-0bcc3bf21323,,CIEL:76376;SNOMED:386963006,,Finasteride,Finastéride,Drug,N/A,,,
32d6f1a8-7a0d-46f7-845a-84e3a27e686e,,CIEL:76488;SNOMED:387174006,,Fluconazole,Fluconazole,Drug,N/A,,,
ce9896a2-de40-4b8e-88fb-e6477eb27f18,,CIEL:76552;SNOMED:372767007,,Fluoxetine,Fluoxétine,Drug,N/A,,,
9486be67-f05f-44a3-8962-0746f0904f1b,,CIEL:76613;SNOMED:63718003,,Folic Acid,Acide folique,Drug,N/A,,,
a82fd4d8-1898-4aa3-86dd-5a0c09381a3f,,CIEL:76734;SNOMED:387475002,,Frusemide,Frusémide,Drug,N/A,,,
81e598ec-f743-409e-8e35-1a682339042d,,SNOMED:87395005,,Frusemide & Amiloride,Frusémide et amiloride,Drug,N/A,,,
9f6c3927-2a31-485c-8735-f10b9951aef9,,CIEL:76734;SNOMED:387475002,,Furosemide,Furosémide,Drug,N/A,,,
cb8b19e0-efae-44a2-923f-c65a08595cbf,,CIEL:104694;SNOMED:776055009,,Furosemide & Spironolactone,Furosémide et spironolactone,Drug,N/A,,,
41bf087e-6031-4735-a310-7d6232f2b027,,CIEL:76739;SNOMED:387530003,,Fusidic Acid,Acide fusidique,Drug,N/A,,,
0c0563de-cd06-49de-8b31-af79d668b81b,,CIEL:76750;SNOMED:386845007,,Gabapentin,Gabapentine,Drug,N/A,,,
f59f2ffe-18b9-4534-b15b-9e8f4ef41bbd,,SNOMED:333179001,,Gamma Benzene Hexachloride & Cetrimide,Hexachlorures de benzene gamma et cétrimide,Drug,N/A,,,
1b6b830c-068d-460d-8411-c42ffe7b0331,,CIEL:100;SNOMED:776094005,,Gentamycin,Gentamycine,Drug,N/A,,,
c30f5267-e067-4e01-9b88-8f4ee5c7c069,,CIEL:76948;SNOMED:387239001,,Gentian Violet,Violet de gentiane,Drug,N/A,,,
e94c6d4c-589d-46c5-a971-99070df288a8,,CIEL:77031;SNOMED:386966003,,Glimepiride,Glimépiride,Drug,N/A,,,
6b90f8e8-2406-45f0-bec4-19d65477147f,,SNOMED:430038002,,Glycerine & Sodium Chloride Enema,Lavement glycerine et chlorure de sodium,Drug,N/A,,,
604fc052-da3e-4032-aeb8-3f88a8041448,,SNOMED:387404004,,Glyceryl Trinitrate,Trinitrate de glycéryle,Drug,N/A,,,
5831575c-89a8-45d5-a02e-ac194d70c064,,CIEL:77335;SNOMED:386837002,,Haloperidol,Halopéridol,Drug,N/A,,,
8df288a5-9288-4ded-a862-ffb1ed062a12,,CIEL:77696;SNOMED:387525002,,Hydrochlorothiazide,Hydrochlorothiazide,Drug,N/A,,,
a2956625-0a07-48b7-9344-3cb707dcd542,,CIEL:77714;SNOMED:396458002,,Hydrocortisone,Hydrocortisone,Drug,N/A,,,
fd8e84b9-be65-4a8f-b5e1-1b0f80a09035,,CIEL:313;SNOMED:387171003,,Hydrogen Peroxide,Peroxyde d'hydrogene,Drug,N/A,,,
44dbd31a-7c2d-422d-b584-004532e4aaff,,CIEL:431;SNOMED:395739004,,Hyoscine Butylbromide,Butylbromure d'hyoscine,Drug,N/A,,,
ff5cdb18-0258-4467-bf1f-35c7b6339767,,CIEL:77897;SNOMED:387207008,,Ibuprofen,Ibuprofene,Drug,N/A,,,
46a9fa37-d6f2-4f72-8a16-c1a76008f508,,SNOMED:1172855009,,Ibuprofen & Paracetamol,Ibuprofene et paracétamol,Drug,N/A,,,
1550184e-b01e-487e-98e6-6be5affdd67d,,CIEL:78010;SNOMED:373513008,,Indomethacin,Indométhacine,Drug,N/A,,,
aee5f376-e00c-46f3-83ef-3759e54f85a1,,CIEL:78056;SNOMED:67866001,,Insulin,Insuline,Drug,N/A,,,
3fce12df-5872-4466-841c-2ec8e195733b,,CIEL:78199;SNOMED:372518007,,Ipratropium,Ipratropium,Drug,N/A,,,
d5a8fc85-6ee9-4983-a056-f4d3449f6af8,,CIEL:78200;SNOMED:386881005,,Ipratropium Bromide,Bromure d'ipratropium,Drug,N/A,,,
c65d61af-b804-4a17-8f6b-b6d758fcf75a,,CIEL:78306;SNOMED:386854005,,Isosorbide Mononitrate,Mononitrate d'isosorbide,Drug,N/A,,,
